GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
l3-poo-war,fr.pantheonsorbonne.miage.enums,CardColor,14,65,1,3,3,11,3,4,2,3
l3-poo-war,fr.pantheonsorbonne.miage.enums,RoleValue,34,46,4,0,6,9,5,2,3,2
l3-poo-war,fr.pantheonsorbonne.miage.enums,CardValue,5,147,1,3,1,23,1,6,0,5
l3-poo-war,fr.pantheonsorbonne.miage.exception,NoMoreCardException,3,0,0,0,1,0,1,0,1,0
l3-poo-war,fr.pantheonsorbonne.miage.exception,NoMorePlayerException,3,0,0,0,1,0,1,0,1,0
l3-poo-war,fr.pantheonsorbonne.miage,WarGameEngine,241,10,24,0,66,3,15,1,3,1
l3-poo-war,fr.pantheonsorbonne.miage,WarGameNetworkPlayer,128,0,12,0,29,0,13,0,6,0
l3-poo-war,fr.pantheonsorbonne.miage,LocalWarGame,246,612,30,74,56,117,35,50,13,20
l3-poo-war,fr.pantheonsorbonne.miage.game,Card,108,63,12,8,20,18,15,6,7,4
l3-poo-war,fr.pantheonsorbonne.miage.game,Deck,11,127,3,9,3,23,2,9,0,5
l3-poo-war,fr.pantheonsorbonne.miage.utils,ConsoleColors,3,0,0,0,1,0,1,0,1,0
